Name,Count,CountPerSecond,TotalDurationSeconds,FirstStartSeconds,FirstFinishSeconds,FirstDurationSeconds,LastStartSeconds,LastFinishSeconds,LastDurationSeconds,MinDurationSeconds,MaxDurationSeconds,MeanDurationSeconds,DeviationDurationSeconds,
WaitForVisibilityTasks,188,66.280858,0.185551,8.008500,8.008503,0.000003,10.844912,10.844915,0.000003,0.000001,0.030905,0.000987,0.002558,
FDiaphragmDOFCocDilateCS,9,-2749.266862,0.180790,6.483678,6.492059,0.008381,6.472555,6.480404,0.007849,0.004040,0.106445,0.020088,0.032602,
ShadowDepths,944,420.361697,0.180280,8.602821,8.602860,0.000039,10.848496,10.848506,0.000011,0.000003,0.027794,0.000191,0.001278,
FHairStrandsVoxelTransmittanceMaskCS,16,2742.731761,0.179750,6.640404,6.649226,0.008822,6.639218,6.646238,0.007020,0.005707,0.026356,0.011234,0.005604,
FTSRRejectShadingCS,6,201.949486,0.178429,5.982640,5.998325,0.015685,5.988663,6.012351,0.023688,0.015685,0.048807,0.029738,0.011059,
FTSRDilateVelocityCS,6,-171.381074,0.177730,6.059299,6.077847,0.018548,6.000820,6.024289,0.023469,0.018548,0.054349,0.029622,0.013325,
SWindow::ShowWindow,2,0.523726,0.176962,3.946322,4.123282,0.176960,7.765109,7.765111,0.000002,0.000002,0.176960,0.088481,0.125129,
PrecacheComputePipelineStatesForGlobalShaders,1,5.685226,0.175895,5.370158,5.546053,0.175895,5.370158,5.546053,0.175895,0.175895,0.175895,0.175895,0.000000,
FRDGBuilder::SubmitBufferUploads,1713,528.064957,0.171288,8.524748,8.525048,0.000299,11.768654,11.768668,0.000014,0.000001,0.015948,0.000100,0.000562,
FTextLocalizationManager::LoadLocalizationResourcesForPrioritizedCultures,2,1.442344,0.170523,2.763656,2.934019,0.170364,4.150129,4.150288,0.000159,0.000159,0.170364,0.085261,0.120353,
FTextLocalizationManager::WaitForAsyncTasks,5,0.536016,0.170499,2.761859,2.761881,0.000023,12.089943,12.089945,0.000002,0.000002,0.170454,0.034100,0.076224,
BeginOcclusionTests,1319,522.686247,0.168573,8.325656,8.325693,0.000037,10.849130,10.849158,0.000029,0.000002,0.004348,0.000128,0.000457,
LowerThreadPriority,1104,101.844233,0.167954,0.917764,0.917811,0.000046,11.757835,11.757848,0.000013,0.000001,0.040874,0.000152,0.001333,
DoPendingOuterRegistrations,1,5.991461,0.166904,4.449687,4.616591,0.166904,4.449687,4.616591,0.166904,0.166904,0.166904,0.166904,0.000000,
FSlateApplication::Create(),1,6.084087,0.164363,2.934212,3.098575,0.164363,2.934212,3.098575,0.164363,0.164363,0.164363,0.164363,0.000000,
EmberveilRelic,2283,784.824229,0.163581,8.205562,8.206325,0.000763,11.114481,11.114494,0.000013,0.000000,0.003957,0.000072,0.000190,
Submission_Wait,193,27.688500,0.162005,4.140322,4.141210,0.000888,11.109981,11.110725,0.000744,0.000085,0.005544,0.000839,0.000795,
D3D12CreateDevice,1,6.396246,0.156342,3.531664,3.688006,0.156342,3.531664,3.688006,0.156342,0.156342,0.156342,0.156342,0.000000,
IoDispatcherWaitForIo,357,59.647272,0.155753,3.830898,3.831217,0.000320,9.816006,9.816083,0.000078,0.000001,0.017626,0.000436,0.001666,
GEngine->Start(),1,6.439250,0.155298,7.591465,7.746762,0.155298,7.591465,7.746762,0.155298,0.155298,0.155298,0.155298,0.000000,
